epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2905.56,0.67255,0.91501,1.13604,0.88285,0.85823,0.92416,0.77586,0.61211,0.53914,1.02384,0.000349331,0.000349331,0.000349331
43,2968.59,0.67628,0.90922,1.13634,0.86165,0.86122,0.91563,0.76531,0.62444,0.56926,1.03657,0.00034351,0.00034351,0.00034351
44,3031.9,0.67621,0.91401,1.14073,0.87761,0.86681,0.92136,0.77562,0.61289,0.54478,1.02575,0.000337688,0.000337688,0.000337688
45,3090.51,0.66478,0.89506,1.13118,0.87469,0.85424,0.92071,0.77215,0.60992,0.53258,1.02291,0.000331867,0.000331867,0.000331867
46,3159.04,0.6686,0.89688,1.13305,0.8956,0.87009,0.9293,0.77993,0.61139,0.52423,1.0239,0.000326046,0.000326046,0.000326046
47,3218.12,0.6628,0.87619,1.12991,0.89891,0.86603,0.93137,0.78331,0.60749,0.52389,1.02152,0.000320225,0.000320225,0.000320225
48,3281.99,0.65543,0.87455,1.12538,0.88701,0.8786,0.93108,0.78359,0.61376,0.50608,1.02945,0.000314404,0.000314404,0.000314404
49,3346.02,0.64792,0.85799,1.12437,0.89641,0.86409,0.93435,0.79207,0.60117,0.50719,1.02028,0.000308582,0.000308582,0.000308582
50,3414.78,0.64211,0.84412,1.11855,0.89133,0.87228,0.93264,0.78691,0.5936,0.49953,1.0117,0.000302761,0.000302761,0.000302761
51,3474.07,0.65116,0.83792,1.12267,0.8875,0.87662,0.93309,0.78982,0.60791,0.50351,1.01443,0.00029694,0.00029694,0.00029694
52,3534.09,0.64635,0.83187,1.12398,0.89028,0.88177,0.93494,0.78828,0.59959,0.50354,1.01639,0.000291119,0.000291119,0.000291119
53,3597.28,0.63588,0.81843,1.11364,0.88853,0.88628,0.93502,0.79216,0.59151,0.49857,1.01423,0.000285298,0.000285298,0.000285298
54,3656.62,0.63174,0.81812,1.1121,0.89822,0.89005,0.94133,0.79838,0.59082,0.47741,1.01155,0.000279476,0.000279476,0.000279476
55,3720.05,0.6274,0.80002,1.1097,0.89359,0.8775,0.93553,0.79324,0.59969,0.48953,1.02297,0.000273655,0.000273655,0.000273655
56,3784.91,0.62514,0.79621,1.10872,0.88315,0.89974,0.94091,0.80252,0.59064,0.47474,1.01686,0.000267834,0.000267834,0.000267834
57,3843.96,0.62909,0.79106,1.10895,0.90338,0.88225,0.93907,0.80057,0.5949,0.4715,1.01554,0.000262013,0.000262013,0.000262013
58,3907.1,0.62141,0.78712,1.10561,0.91471,0.87777,0.93885,0.80165,0.5867,0.45786,1.01132,0.000256192,0.000256192,0.000256192
59,3974.41,0.61213,0.77012,1.09957,0.92877,0.88992,0.94448,0.80615,0.58342,0.45688,1.00573,0.00025037,0.00025037,0.00025037
60,4034.76,0.60881,0.76863,1.10288,0.91026,0.88324,0.94293,0.80783,0.57778,0.46106,0.99942,0.000244549,0.000244549,0.000244549
61,4093.73,0.60115,0.75359,1.09572,0.91199,0.88848,0.94492,0.80847,0.5841,0.45346,1.00627,0.000238728,0.000238728,0.000238728
62,4157.57,0.60565,0.76848,1.09629,0.89658,0.90436,0.94283,0.80235,0.5923,0.46401,1.01263,0.000232907,0.000232907,0.000232907
63,4222.23,0.59612,0.74068,1.09346,0.91889,0.88533,0.94341,0.80822,0.57703,0.45932,1.01169,0.000227086,0.000227086,0.000227086
64,4285.32,0.60002,0.74069,1.09321,0.91956,0.87756,0.9443,0.80877,0.57058,0.45987,0.99891,0.000221264,0.000221264,0.000221264
