epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,452.495,0.4806,0.90337,0.98321,0.40178,0.00333177,0.00333177,0.00333177
2,882.469,0.4378,0.88262,0.98088,0.42966,0.00659912,0.00659912,0.00659912
3,1308.49,0.52823,0.85651,0.97179,0.55829,0.00980047,0.00980047,0.00980047
4,1741.77,0.66499,0.85465,0.97214,0.56138,0.009703,0.009703,0.009703
5,2169.53,0.6208,0.8508,0.97144,0.56776,0.009604,0.009604,0.009604
6,2596.5,0.56728,0.87085,0.97622,0.48308,0.009505,0.009505,0.009505
7,3027.09,0.53492,0.86875,0.97704,0.48938,0.009406,0.009406,0.009406
8,3461.38,0.49363,0.87399,0.9775,0.48104,0.009307,0.009307,0.009307
9,3894.42,0.46867,0.88402,0.98077,0.44032,0.009208,0.009208,0.009208
10,4323.93,0.44787,0.88693,0.98018,0.456,0.009109,0.009109,0.009109
11,4757.2,0.42106,0.88973,0.9817,0.43175,0.00901,0.00901,0.00901
12,5191,0.39749,0.89066,0.981,0.42439,0.008911,0.008911,0.008911
13,5621.44,0.38191,0.89929,0.98368,0.40256,0.008812,0.008812,0.008812
14,6055.65,0.37775,0.89742,0.98415,0.39131,0.008713,0.008713,0.008713
15,6483.91,0.34766,0.89696,0.98368,0.39969,0.008614,0.008614,0.008614
16,6915.11,0.3421,0.9022,0.98415,0.38704,0.008515,0.008515,0.008515
17,7348.97,0.33237,0.90383,0.9845,0.38126,0.008416,0.008416,0.008416
18,7779.88,0.33241,0.90558,0.98555,0.39559,0.008317,0.008317,0.008317
19,8210.59,0.31996,0.9057,0.98578,0.38381,0.008218,0.008218,0.008218
20,8646.1,0.30974,0.90931,0.98578,0.40101,0.008119,0.008119,0.008119
21,9076.88,0.29756,0.91258,0.98613,0.37427,0.00802,0.00802,0.00802
22,9507.88,0.29738,0.91386,0.98625,0.36925,0.007921,0.007921,0.007921
23,9946.28,0.28872,0.91304,0.98683,0.38105,0.007822,0.007822,0.007822
24,10377.6,0.28057,0.91479,0.98648,0.37613,0.007723,0.007723,0.007723
25,10808.5,0.2714,0.91363,0.98578,0.37445,0.007624,0.007624,0.007624
26,11241.9,0.27427,0.91293,0.98625,0.3741,0.007525,0.007525,0.007525
27,11673,0.25893,0.91118,0.98694,0.37387,0.007426,0.007426,0.007426
28,12104.9,0.26311,0.91223,0.98625,0.37421,0.007327,0.007327,0.007327
29,12537.8,0.24634,0.91258,0.98636,0.37817,0.007228,0.007228,0.007228
30,12971.5,0.23297,0.91223,0.98648,0.38375,0.007129,0.007129,0.007129
