epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,457.94,0.03106,0.91631,0.98625,0.40578,0.00333177,0.00333177,0.00333177
2,900.116,0.03185,0.91258,0.9859,0.42166,0.00643757,0.00643757,0.00643757
3,1337.97,0.06282,0.87073,0.97692,0.58882,0.00931579,0.00931579,0.00931579
4,1783.44,0.25561,0.86164,0.97272,0.59878,0.00897586,0.00897586,0.00897586
5,2222.89,0.29848,0.85849,0.97202,0.60508,0.00863448,0.00863448,0.00863448
6,2660.41,0.27858,0.86618,0.97237,0.58067,0.0082931,0.0082931,0.0082931
7,3095.21,0.27176,0.8726,0.9761,0.54213,0.00795172,0.00795172,0.00795172
8,3531.24,0.23881,0.87912,0.97575,0.54276,0.00761034,0.00761034,0.00761034
9,3973.75,0.21942,0.88309,0.97832,0.50911,0.00726897,0.00726897,0.00726897
10,4429.55,0.19955,0.8867,0.97785,0.51931,0.00692759,0.00692759,0.00692759
11,4866.54,0.19016,0.89066,0.9803,0.49843,0.00658621,0.00658621,0.00658621
12,5304.8,0.16599,0.89299,0.97914,0.4888,0.00624483,0.00624483,0.00624483
13,5745.27,0.14963,0.89789,0.98112,0.46674,0.00590345,0.00590345,0.00590345
14,6187.87,0.1293,0.89952,0.9817,0.47222,0.00556207,0.00556207,0.00556207
15,6627.81,0.10816,0.9036,0.98345,0.45253,0.00522069,0.00522069,0.00522069
16,7066.2,0.09865,0.90185,0.98321,0.45579,0.00487931,0.00487931,0.00487931
17,7507.08,0.08838,0.9022,0.9831,0.44427,0.00453793,0.00453793,0.00453793
18,7948.27,0.08266,0.9057,0.98391,0.45216,0.00419655,0.00419655,0.00419655
19,8390.09,0.0683,0.90768,0.98217,0.44052,0.00385517,0.00385517,0.00385517
20,8834.54,0.07148,0.90663,0.98217,0.44948,0.00351379,0.00351379,0.00351379
21,9275.18,0.06716,0.9085,0.98356,0.42752,0.00317241,0.00317241,0.00317241
22,9717.19,0.05251,0.9092,0.98298,0.42923,0.00283103,0.00283103,0.00283103
23,10153.7,0.05188,0.90931,0.98217,0.4354,0.00248966,0.00248966,0.00248966
24,10594.7,0.04172,0.91083,0.98391,0.42523,0.00214828,0.00214828,0.00214828
25,11036.3,0.03744,0.91153,0.98426,0.4204,0.0018069,0.0018069,0.0018069
26,11526.3,0.03201,0.91281,0.98368,0.41953,0.00146552,0.00146552,0.00146552
27,12051,0.02947,0.91386,0.98438,0.41564,0.00112414,0.00112414,0.00112414
28,12569.6,0.02658,0.91456,0.98426,0.41457,0.000782759,0.000782759,0.000782759
29,13086,0.02573,0.91409,0.98403,0.42128,0.000441379,0.000441379,0.000441379
